ac_number,pdf_url,page_number,total_electors,total_votes_polled,status
1,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC001.pdf,8.0,254175.0,232630.0,OK
2,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC002.pdf,8.0,251421.0,226873.0,OK
3,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC003.pdf,8.0,262500.0,239451.0,OK
4,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC004.pdf,8.0,251111.0,226788.0,OK
5,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC005.pdf,12.0,368694.0,309019.0,OK
6,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC006.pdf,9.0,436522.0,346358.0,OK
7,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC007.pdf,9.0,373321.0,294170.0,OK
8,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC008.pdf,6.0,337081.0,260675.0,OK
9,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC009.pdf,11.0,431866.0,362249.0,OK
10,https://elections.tn.gov.in/Form20_TNLA2026/dt1/AC010.pdf,9.0,244931.0,207167.0,OK
11,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC011.pdf,3.0,199394.0,181348.0,OK
12,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC012.pdf,3.0,226345.0,204619.0,OK
13,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC013.pdf,4.0,211833.0,184284.0,OK
14,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC014.pdf,4.0,163416.0,141650.0,OK
15,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC015.pdf,4.0,181658.0,143940.0,OK
16,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC016.pdf,4.0,138796.0,119915.0,OK
17,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC017.pdf,3.0,159672.0,127420.0,OK
18,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC018.pdf,4.0,120142.0,99634.0,OK
19,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC019.pdf,4.0,166050.0,140834.0,OK
20,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC020.pdf,5.0,157551.0,131905.0,OK
21,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC021.pdf,4.0,188908.0,163432.0,OK
22,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC022.pdf,5.0,200627.0,172888.0,OK
23,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC023.pdf,7.0,204177.0,160496.0,OK
24,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC024.pdf,4.0,158791.0,134147.0,OK
25,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC025.pdf,5.0,199496.0,150800.0,OK
26,https://elections.tn.gov.in/Form20_TNLA2026/dt2/AC026.pdf,5.0,217208.0,185042.0,OK
27,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC027.pdf,14.0,553978.0,447295.0,MISSING_ELECTORS
28,https://elections.tn.gov.in/Form20_TNLA2026/dt3/AC028.pdf,6.0,301127.0,261666.0,OK
29,https://elections.tn.gov.in/Form20_TNLA2026/dt3/AC029.pdf,10.0,381807.0,331155.0,OK
30,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC030.pdf,10.0,337024.0,283677.0,MISSING_ELECTORS
31,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC031.pdf,16.0,330181.0,279036.0,MISSING_ELECTORS
32,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC032.pdf,16.0,372889.0,319901.0,MISSING_ELECTORS
33,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC033.pdf,20.0,294452.0,262409.0,MISSING_ELECTORS
34,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC034.pdf,11.0,204049.0,187584.0,MISSING_ELECTORS
35,https://elections.tn.gov.in/Form20_TNLA2026/dt35/AC035.pdf,15.0,212666.0,198551.0,MISSING_ELECTORS
36,https://elections.tn.gov.in/Form20_TNLA2026/dt3/AC036.pdf,7.0,246248.0,228219.0,OK
37,https://elections.tn.gov.in/Form20_TNLA2026/dt3/AC037.pdf,8.0,278841.0,246886.0,OK
38,https://elections.tn.gov.in/Form20_TNLA2026/dt37/AC038.pdf,26.0,200773.0,182493.0,OK
39,https://elections.tn.gov.in/Form20_TNLA2026/dt37/AC039.pdf,26.0,257522.0,233969.0,MISSING_POLLED
40,https://elections.tn.gov.in/Form20_TNLA2026/dt4/AC040.pdf,21.0,228736.0,204355.0,OK_VERIFIED_EXTRACTION
41,https://elections.tn.gov.in/Form20_TNLA2026/dt37/AC041.pdf,27.0,248244.0,221259.0,OK
42,https://elections.tn.gov.in/Form20_TNLA2026/dt37/AC042.pdf,26.0,245719.0,226005.0,OK
43,https://elections.tn.gov.in/Form20_TNLA2026/dt4/AC043.pdf,25.0,214504.0,190573.0,MISSING_POLLED
44,https://elections.tn.gov.in/Form20_TNLA2026/dt4/AC044.pdf,22.0,238715.0,217085.0,OK_VERIFIED_EXTRACTION
45,https://elections.tn.gov.in/Form20_TNLA2026/dt4/AC045.pdf,25.0,215304.0,190379.0,OK_VERIFIED_EXTRACTION
46,https://elections.tn.gov.in/Form20_TNLA2026/dt4/AC046.pdf,32.0,251588.0,229252.0,OK_VERIFIED_EXTRACTION
47,https://elections.tn.gov.in/Form20_TNLA2026/dt36/AC047.pdf,7.0,243320.0,212624.0,OK
48,https://elections.tn.gov.in/Form20_TNLA2026/dt36/AC048.pdf,7.0,214898.0,195785.0,OK
49,https://elections.tn.gov.in/Form20_TNLA2026/dt36/AC049.pdf,6.0,237465.0,213582.0,OK
50,https://elections.tn.gov.in/Form20_TNLA2026/dt36/AC050.pdf,5.0,227352.0,203263.0,OK
51,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC051.pdf,21.0,235925.0,205745.0,OK_VERIFIED_EXTRACTION
52,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC052.pdf,18.0,239318.0,214129.0,MISSING_POLLED
53,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC053.pdf,29.0,269394.0,267366.0,OK_VERIFIED_EXTRACTION
54,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC054.pdf,29.0,246739.0,245791.0,OK_VERIFIED_EXTRACTION
55,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC055.pdf,25.0,343040.0,277928.0,OK_VERIFIED_EXTRACTION
56,https://elections.tn.gov.in/Form20_TNLA2026/dt5/AC056.pdf,27.0,237961.0,237924.0,OK_VERIFIED_EXTRACTION
57,https://elections.tn.gov.in/Form20_TNLA2026/dt6/AC057.pdf,15.0,240861.0,225496.0,MISSING_ELECTORS
58,https://elections.tn.gov.in/Form20_TNLA2026/dt6/AC058.pdf,11.0,248832.0,228907.0,MISSING_ELECTORS
59,https://elections.tn.gov.in/Form20_TNLA2026/dt6/AC059.pdf,12.0,260979.0,238742.0,MISSING_ELECTORS
60,https://elections.tn.gov.in/Form20_TNLA2026/dt6/AC060.pdf,16.0,257016.0,236621.0,MISSING_ELECTORS
61,https://elections.tn.gov.in/Form20_TNLA2026/dt6/AC061.pdf,16.0,245971.0,220303.0,MISSING_ELECTORS
62,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC062.pdf,32.0,268997.0,243703.0,MISSING_POLLED
63,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC063.pdf,30.0,249849.0,220066.0,MISSING_POLLED
64,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC064.pdf,20.0,240823.0,220055.0,MISSING_POLLED
65,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC065.pdf,18.0,233595.0,214193.0,OK_VERIFIED_EXTRACTION
66,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC066.pdf,16.0,233774.0,212247.0,MISSING_POLLED
67,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC067.pdf,16.0,254963.0,230796.0,MISSING_POLLED
68,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC068.pdf,23.0,239856.0,222933.0,MISSING_POLLED
69,https://elections.tn.gov.in/Form20_TNLA2026/dt7/AC069.pdf,19.0,213474.0,191401.0,MISSING_POLLED
70,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC070.pdf,28.0,242992.0,217641.0,RECOVERED_LAST_PAGE
71,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC071.pdf,21.0,209098.0,189376.0,OK_VERIFIED_EXTRACTION
72,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC072.pdf,30.0,219300.0,196360.0,OK_VERIFIED_EXTRACTION
73,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC073.pdf,30.0,209885.0,192680.0,OK_VERIFIED_EXTRACTION
74,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC074.pdf,27.0,245994.0,215891.0,OK_VERIFIED_EXTRACTION
75,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC075.pdf,24.0,229182.0,209859.0,OK_VERIFIED_EXTRACTION
76,https://elections.tn.gov.in/Form20_TNLA2026/dt8/AC076.pdf,31.0,243404.0,217762.0,OK_VERIFIED_EXTRACTION
